product_id,product_name,category,description
1,Wireless Mouse,Electronics,computer wireless mouse usb laptop accessory
2,Laptop Bag,Accessories,laptop bag waterproof travel backpack office
3,Bluetooth Headphones,Electronics,wireless bluetooth music headphones bass
4,Phone Case,Accessories,protective smartphone case cover shockproof
5,Running Shoes,Fashion,sports running comfortable shoes fitness
6,Sports Watch,Fashion,fitness digital sports watch waterproof
7,Keyboard,Electronics,computer wired keyboard mechanical typing
8,Sunglasses,Fashion,stylish uv protection sunglasses summer fashion
9,Power Bank,Electronics,portable mobile charger powerbank fast charging
10,Laptop Stand,Accessories,adjustable aluminum laptop stand desk
11,Smartphone,Electronics,android smartphone high performance camera
12,Tablet,Electronics,portable tablet touchscreen multimedia device
13,Gaming Mouse,Electronics,high dpi gaming mouse rgb lighting
14,Mechanical Keyboard,Electronics,gaming mechanical keyboard rgb switches
15,USB Flash Drive,Electronics,portable usb storage drive data transfer
16,External Hard Drive,Electronics,portable external hard disk backup storage
17,Wireless Charger,Electronics,fast wireless charging pad smartphone
18,Smart TV,Electronics,4k ultra hd smart television streaming
19,Bluetooth Speaker,Electronics,portable bluetooth speaker deep bass sound
20,Noise Cancelling Headphones,Electronics,active noise cancelling wireless headphones
21,Tshirt,Fashion,cotton casual tshirt summer wear
22,Jeans,Fashion,denim slim fit jeans casual clothing
23,Jacket,Fashion,winter jacket warm stylish outfit
24,Sneakers,Fashion,casual sneakers street style footwear
25,Backpack,Accessories,travel backpack laptop storage bag
26,Wallet,Fashion,leather wallet card holder men
27,Handbag,Fashion,stylish women handbag fashion accessory
28,Office Chair,Furniture,ergonomic office chair lumbar support
29,Study Table,Furniture,wooden study desk computer table
30,Desk Lamp,Home,led desk lamp study light adjustable
31,Coffee Maker,Home,automatic coffee machine kitchen appliance
32,Air Fryer,Home,kitchen air fryer healthy cooking appliance
33,Electric Kettle,Home,fast boiling electric kettle kitchen
34,Water Bottle,Home,stainless steel reusable water bottle
35,Fitness Band,Electronics,smart fitness tracker heart rate monitor
36,Smart Watch,Electronics,wearable smartwatch fitness notifications
37,Portable Fan,Home,mini usb portable fan desk cooling
38,Gaming Chair,Furniture,ergonomic gaming chair comfortable support
39,Monitor,Electronics,computer monitor full hd display
40,Webcam,Electronics,hd webcam video calls streaming
